Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$89321.00,312,42,14,5,273,242,9,93,297,292,214,7,3,5,2,1,74,155,275,0,93,51,87,40,79,55,32,56,53,84,14,74,48,47,14,42,48,12,64,43,68,49,1153,466,144,355,67,587,1080,4,24,12,21,0,11,1,733,250,170,299,14,472,368,870,242,7,10,21,1,2
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$675.00,74,27,0,4,37,21,4,27,0,69,1,6,2,7,8,8,16,70,22,0,95,52,21,15,6,20,86,77,96,6,50,53,23,50,56,12,35,77,88,20,73,0,1011,191,296,189,421,105,372,240,73,127,132,12,25,30,607,18,386,142,478,498,0,890,91,24,4,0,0,2
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$75275.00,54,48,14,20,24,29,2,49,37,37,0,8,5,3,2,11,1,14,16,0,94,13,60,17,65,82,24,40,84,92,96,1,9,4,6,47,17,91,3,71,70,93,1079,565,362,22,473,222,176,11,312,351,187,19,16,7,949,20,110,186,855,65,0,305,652,116,2,0,1,3
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$32575.00,243,22,19,166,124,121,1,0,96,83,60,9,9,6,0,10,68,20,166,0,87,41,42,97,3,59,98,79,77,23,55,14,9,40,10,86,91,95,63,44,50,48,1211,109,203,54,86,868,1087,41,42,19,10,6,5,1,652,507,52,489,454,162,106,507,590,102,0,7,1,4
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$50400.00,184,9,0,6,136,143,2,58,95,10,116,4,1,4,8,19,84,135,1,0,70,50,61,6,34,85,95,70,43,82,37,36,73,36,3,83,16,24,76,23,68,74,1145,487,97,327,131,590,711,38,217,31,102,18,13,15,228,630,287,531,398,656,0,535,277,302,2,5,9,15
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$67980.00,362,30,22,267,48,60,8,148,151,77,69,4,2,2,6,16,124,267,287,0,98,59,24,59,98,50,30,61,69,14,16,65,59,26,43,85,0,97,5,40,79,22,1099,937,496,405,95,103,996,71,9,21,0,1,0,1,971,52,76,449,504,412,0,257,611,154,30,13,21,13
Fostering Hope,Back 2 School Event,$58794.00,418,10,9,369,89,286,3,140,269,294,382,8,1,1,7,16,87,351,315,0,19,9,95,68,78,0,62,87,53,30,15,3,66,83,31,42,72,4,27,21,69,17,951,530,243,115,158,435,365,291,253,20,16,3,0,3,259,444,248,233,692,236,0,824,63,53,4,4,2,1
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$38642.00,443,40,5,63,50,334,7,281,223,48,394,3,0,2,3,19,100,191,246,0,34,48,83,4,77,56,45,3,2,11,57,55,87,50,77,53,7,6,97,60,66,4,982,678,272,218,85,407,803,89,13,18,18,28,9,4,297,154,531,305,76,815,0,653,20,247,52,4,1,5
"Girl Talk, Inc.",Safe & Healing Spaces,$35219.00,417,21,15,70,104,4,0,13,295,101,33,7,7,8,9,13,16,147,13,0,7,23,63,48,95,74,31,76,87,65,10,53,8,23,30,98,44,17,69,53,78,21,1073,563,4,289,312,468,87,946,11,28,0,0,0,1,820,148,105,69,667,311,26,407,94,296,61,74,0,141
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$34025.00,326,15,5,14,12,132,6,226,276,230,43,4,6,3,0,0,133,312,180,0,49,56,40,33,41,74,71,9,63,18,87,90,14,84,36,49,38,53,25,50,96,84,1160,275,509,580,560,0,628,471,9,44,2,1,3,2,229,9,922,418,608,342,0,973,1,23,17,129,6,11
