Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$48936.00,260,3,17,125,33,231,2,200,141,12,134,5,1,3,7,19,49,123,73,0,62,31,19,77,6,92,67,27,59,52,25,11,28,19,95,13,39,11,5,24,38,17,817,281,380,360,299,0,499,145,88,66,1,7,5,6,634,138,45,122,210,584,0,91,527,47,24,103,1,24
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$65727.00,222,44,18,117,77,140,8,12,219,116,69,5,3,8,7,17,92,76,125,0,63,41,12,92,1,28,15,70,0,3,70,91,56,40,87,9,81,61,2,94,98,80,1094,140,407,112,540,35,989,22,2,18,25,15,21,2,243,779,72,74,607,20,393,266,530,130,122,19,16,11
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$91325.00,350,31,16,314,19,193,1,137,139,12,344,0,7,0,2,14,26,23,126,0,69,39,69,94,15,68,89,17,12,36,94,40,48,17,18,14,75,68,55,36,67,91,1131,1005,491,233,178,229,831,94,154,1,43,5,1,2,536,57,538,197,451,259,224,770,295,61,4,0,0,1
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$63098.00,409,25,11,374,162,64,3,67,101,277,152,9,5,8,0,10,47,60,353,0,87,10,89,69,21,88,28,79,42,12,5,95,47,94,84,59,54,55,72,51,84,17,1242,55,453,368,520,0,1130,41,22,37,4,2,2,4,51,666,525,168,691,485,0,804,254,136,5,27,6,10
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$41249.00,53,30,12,2,17,12,9,9,29,29,3,5,1,5,2,19,15,17,3,0,91,26,83,21,81,81,86,73,76,44,20,39,0,67,66,63,32,61,62,24,25,67,1188,965,440,264,287,197,921,3,71,97,91,4,0,1,1112,54,22,445,680,336,0,399,730,11,6,39,1,2
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$5498.00,150,30,23,59,109,48,5,52,130,74,9,8,0,2,5,5,29,80,47,0,26,0,85,23,40,25,65,3,92,25,95,35,84,49,91,91,32,54,19,60,10,24,1028,838,36,285,435,272,24,436,479,44,32,11,1,1,269,706,53,63,596,364,5,671,20,251,72,8,5,1
Fostering Hope,Back 2 School Event,$60189.00,187,27,19,114,134,123,5,122,22,113,138,3,6,3,3,3,67,115,135,0,33,59,67,88,25,53,7,11,5,54,84,22,96,61,58,56,5,20,86,31,28,36,985,817,325,210,145,305,505,459,6,14,0,0,0,1,233,168,584,208,530,335,0,502,82,278,37,72,1,13
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$51266.00,324,32,10,199,12,173,3,301,89,193,174,0,7,6,2,17,47,51,176,0,0,16,11,98,75,0,43,19,49,60,90,37,86,16,27,74,30,98,83,99,29,99,1139,592,353,476,195,115,407,404,45,216,41,20,5,1,36,260,843,299,487,213,140,728,356,8,38,0,5,4
"Girl Talk, Inc.",Safe & Healing Spaces,$96234.00,494,44,19,379,364,301,1,320,437,399,111,2,8,4,6,18,75,425,396,0,34,70,2,11,70,24,34,67,18,16,41,43,7,47,91,34,2,30,4,75,65,34,819,53,334,167,229,89,155,329,6,128,140,12,44,5,709,20,90,316,38,616,0,119,332,35,267,61,0,5
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$80689.00,454,36,21,85,212,437,6,44,104,183,29,6,8,1,2,10,110,404,449,0,17,5,82,40,66,75,48,8,6,2,14,44,65,96,44,14,21,92,84,92,63,34,1012,826,208,435,197,172,549,274,29,159,0,0,0,1,790,134,88,172,617,279,0,269,512,23,121,21,30,36
Helen Ross McNabb Center,Elevate Recovery School Peer Group,$84447.00,68,34,20,13,63,27,2,54,44,57,21,0,6,7,5,14,15,48,28,0,28,9,98,19,71,69,94,89,79,25,87,83,41,10,30,8,48,54,75,74,78,33,1202,796,155,190,232,625,1025,158,4,2,11,0,0,2,144,237,821,599,445,688,0,1066,115,4,15,0,0,2
InterFaith Health Center,Expanded Mental Health Services for the Latinx Community & Other Underserved Groups,$2360.00,458,21,10,264,64,367,5,295,383,45,79,5,7,3,0,18,225,378,184,0,31,53,60,74,10,19,57,2,10,8,97,54,97,23,1,52,61,95,28,4,7,94,937,158,444,438,216,0,901,9,8,12,2,2,0,3,341,476,120,74,29,646,188,873,31,17,11,4,0,1
"Karate Five Association, Inc.","Fighting to Save Lives thru the Mental, Physical and Emotional Training Disciplines of Martial Arts",$41486.00,90,3,20,7,14,57,9,63,5,65,39,1,4,3,8,13,1,52,0,0,13,88,88,83,45,50,33,1,31,97,86,61,1,64,60,58,46,67,91,10,90,12,1175,70,54,290,189,642,76,82,769,168,37,17,15,11,890,124,161,488,659,5,23,1049,28,5,48,1,2,42
"Karate Five Association, Inc.","Fighting to Save Lives through the Mental, Physical and Emotional Training Disciplines",$59234.00,494,48,22,383,440,326,8,397,178,402,464,6,6,4,2,19,66,324,5,0,37,5,54,72,42,41,7,52,35,13,68,15,19,50,71,76,73,84,87,3,28,54,986,674,136,392,356,102,190,771,17,0,1,4,2,1,87,161,738,272,45,840,0,283,561,70,27,18,14,13
Knox County Schools PTA Clothing Center,KNOX COUNTY SCHOOLS CLOTHING CENTER PTA,$44296.00,402,36,7,260,245,358,2,286,111,227,398,6,3,5,6,14,120,39,331,0,33,14,93,31,37,79,76,43,50,30,5,19,8,72,1,25,41,61,18,16,94,90,936,782,100,428,101,307,362,369,54,98,46,0,4,3,196,10,730,185,414,459,0,175,713,47,0,0,0,1
Knoxville - Knox County CAC,Homeward Bound Rental Assistance Program,$54935.00,201,20,2,23,77,159,6,197,10,179,62,5,2,1,5,17,16,43,150,0,7,4,83,6,44,19,99,83,28,65,86,71,83,74,7,68,91,36,27,13,2,97,1093,517,118,252,390,333,670,174,82,60,103,3,0,1,102,667,324,442,236,365,50,457,323,200,53,15,41,4
Knoxville - Knox County Community Action Committee for Affordable Neighborhoods - CAAN,Nutritional Supplements for At-Risk Older Adults,$66232.00,356,45,3,351,84,162,4,157,158,139,210,9,4,0,0,3,55,96,149,0,92,96,99,22,68,66,39,41,7,97,37,83,26,21,92,86,86,21,94,69,96,0,1338,901,63,657,78,540,886,113,133,122,14,14,50,6,1158,126,54,454,173,405,306,236,849,156,72,19,3,3
Knoxville Internationals Network-KIN,ELL Summer Camp,$58339.00,61,31,18,35,36,59,7,58,12,40,50,8,8,6,1,1,29,1,36,0,80,59,66,94,25,32,1,35,25,43,93,38,88,1,84,66,21,71,73,9,59,11,1074,258,101,244,458,271,420,501,138,5,7,0,0,3,604,61,409,445,521,417,0,769,86,34,127,24,1,33
Knoxville Leadership Foundation,Compassion Coalition - Gap Needs,$18770.00,108,44,21,45,2,57,2,30,37,62,23,5,4,7,6,2,28,16,75,0,40,8,77,37,66,39,39,2,76,34,60,19,91,81,99,94,40,22,41,75,16,84,1140,501,412,198,42,488,420,285,116,91,170,33,20,5,745,221,174,267,843,150,0,922,160,22,29,6,0,1
Legal Aid of East Tennessee,Mental Health Law Partnership,$61582.00,160,3,10,10,24,102,6,122,65,67,123,2,3,8,7,18,49,154,10,0,31,34,48,57,95,17,35,6,52,14,39,9,77,81,91,3,18,47,67,16,96,65,998,636,240,311,36,411,286,329,243,59,75,1,1,4,11,727,260,115,213,468,202,838,112,40,4,0,2,2
Legal Aid of East Tennessee,Housing Stability for Low-Income Knoxvillians,$15992.00,181,4,14,52,138,41,6,127,105,4,145,5,8,2,0,14,19,83,42,0,59,28,70,38,34,2,62,55,32,56,60,45,83,35,70,44,62,11,19,4,4,23,896,667,89,385,160,262,95,120,131,374,166,7,1,2,403,193,300,180,364,98,254,244,340,112,126,55,10,9
Little Oaks Academy,Little Oaks Academy Tuition Scholarship,$92342.00,198,44,23,30,98,160,6,195,193,145,107,2,7,1,9,19,41,163,109,0,13,89,16,92,31,46,33,1,9,86,39,53,99,49,60,33,59,64,53,43,58,55,1081,295,184,452,301,144,313,358,52,57,266,33,1,1,235,36,810,374,417,103,187,54,255,519,193,2,56,2
Mental Health Association of East Tennessee,Treatment Access Bank,$97470.00,109,38,6,48,106,18,6,68,13,107,45,3,3,8,2,16,13,52,44,0,45,59,8,60,91,94,39,37,74,85,1,12,39,77,5,80,27,1,39,70,97,15,1055,284,302,230,508,15,261,440,49,282,12,2,3,6,539,67,449,161,853,136,0,763,99,117,14,14,16,32
Mental Health Association of East Tennessee,Mental Health Association of East Tennessee: Treatment Access Bank,$44158.00,187,40,21,115,34,98,4,99,56,178,56,4,7,0,0,15,40,164,123,0,52,18,69,13,15,4,78,79,35,8,45,32,60,15,25,22,66,79,37,31,29,21,833,70,223,60,116,434,388,61,381,1,1,0,0,1,341,102,390,173,57,284,319,359,53,257,142,8,3,11
Metro Drug Coalition,Metro Drug Coalition Recovery Housing Fund,$38259.00,208,43,13,73,66,27,3,181,124,200,60,1,2,1,7,4,14,186,6,0,44,9,23,64,21,94,81,18,81,17,30,69,27,14,73,85,55,46,29,89,86,4,1059,345,114,347,221,377,406,39,313,68,165,55,0,13,754,136,169,521,232,519,0,892,152,4,7,2,0,2
"My Daughters Journey, Inc.",Diamondz in the Rough Mentoring and Leadership Academy for Justice Involved and Homeless Youth,$74958.00,208,5,6,126,37,171,1,187,6,134,203,0,7,3,1,15,49,201,143,0,66,25,28,44,65,86,37,65,7,66,21,78,1,10,86,75,46,83,48,64,89,93,1183,75,305,72,533,273,2,1159,3,11,1,0,3,4,360,632,191,85,232,850,16,847,260,57,3,14,1,1
"My Daughters Journey, Inc.",Diamondz in the Rough Mentoring and Leadership Academy Community Behavioral Initiative,$51942.00,167,26,19,17,80,103,0,125,44,101,22,9,8,2,0,12,59,117,8,0,64,32,41,38,90,64,30,12,28,50,25,22,27,50,77,49,14,67,28,15,28,61,912,762,295,77,377,163,387,416,5,75,5,17,5,2,584,9,319,221,576,92,23,894,7,2,8,0,0,1
"My Daughters Journey, Inc.",My Daughters Journey Family Advocacy Program,$99515.00,144,21,14,56,73,122,9,48,22,33,19,1,8,8,8,15,36,133,81,0,2,86,9,15,20,80,53,18,40,78,17,92,75,90,57,2,33,47,69,89,9,2,983,620,234,189,220,340,763,13,9,89,38,44,17,10,429,68,486,445,148,294,96,155,145,194,167,191,89,42
"New Direction Health Care Solutions, Inc.",New Direction - Dealing With Loneliness and the Mental Health Implications,$8526.00,402,33,22,67,366,136,5,30,100,237,142,2,0,9,3,13,76,75,79,0,65,59,42,75,67,87,10,65,10,83,57,9,29,72,6,43,3,39,25,77,82,46,1051,163,19,154,261,617,1028,19,2,0,0,1,0,1,581,279,191,372,250,763,0,456,528,49,7,6,1,4
