Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
Wesley House Community Center,Wesley House Community Center’s expanding childcare and addressing food insecurity ,"$20,000.00 ",11210,0,7,11091,0,11091,0,0,0,0,0,0,0,119,699,61, , ,0,"The funding through City of Knoxville ARPA funds allowed Wesley House to continue affordable and high quality programming. Our community bases its use of resources of word of mouth referral, which has always been our agency's largest tool for serving our community. Because of this funding, Wesley House was able to provide programming in a safe and healthy manner. Once we had this reputation, our program participants were able to tell their peers, which kept our childcare program full and food pantry busy. Our current retention rate for our childcare program is 96% from summer camp to after school programming. ",1,0,0,0,0,0,12,5,0,0,15,3,13,11,48,0,4,4,2,0,0,0, , ,62,57,0,0,20,78,0,0,0,16,5,0,1,118,0, , , , ,0,119,0,0,0,0,11091
Knox County Schools PTA Clothing Center,KNOX COUNTY SCHOOLS CLOTHING CENTER PTA,"$20,000.00 ",911,2,8,0,0,0,0,911,99,0,0,0,0,0,0,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,407,469,0,35, , , , , , , , , , , , , , , ,32,735,15,0,0,0,129
Shora Foundation,Academic Center,"$20,000.00 ",87,1,5,87,87,87,1,5,5,0,0,0,0,35,410,35, , ,0,"These funds did not affect attraction or retention of staff. However, our free or nominal fee service attracted families. Families are also like out program because we feed children on a daily basis while also providing family meals when needed.",0,0,0,0,0,0,0,55,30,0,0,0,0,0,0,0,0,2,0,0,0,0, , , , , , , , , , , , , , ,0,87,0, , , , , , , , , , , 
A 1 Learning Connections,Serving in the Midst of a Storm,"$7,500.00 ",11,0,2,11,11,11,0,11,11,0,0,0,0,0,0,0, , ,11, ,0,0,0,0,0,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0, , ,5,6,0,0,0,11,0,0,0,0,0,0,0,11,0, , , , ,0,0,2,8,1,0,0
"Senior Citizens Home Assistance Service, Inc (SCHAS)",SCHAS Out Shopping (SOS),"$20,000.00 ",105,4,1,105,0,105,0,0,105,0,0,0,0,0,0,0, , ,0, ,0,1,0,0,2,2,4,19,10,0,23,7,4,4,15,4,3,1,0,0,1,0, , ,76,29,0,0, , , , , , , , , , , , , , , ,0,0,0,0,18,87,0
Next Step Initiative,Community Outreach Program,"$20,000.00 ",462,0,12,462,4,462,0,110,462,27,5,0,0,0,0,0, , ,168, ,2,0,0,0,0,0,0,1,3,0,12,4,3,14,10,0,0,3,1,0,0,0, , ,58,83,0,0,125,9,0,0,0,0,0,0,3,120,17, , , , ,0,0,8,77,55,6,0
Susannah's House,Mothers in Recovery,"$16,250.00 ",83,2,6,66,24,40,1,42,50,10,73,17,517,6,42,23, , ,66,"The funds helped make it possible for children age birth - 5 to be cared for so that mothers could continue their substance abuse counseling and life skills classes. Children also received mental health services in the form of Child/Parent Psychotherapy. Staff were retained in order to care for children and to provide mental health therapy for mothers, and allowed Susannah's House to attract more clients. ",1,0,0,3,0,0,4,5,2,0,5,2,2,3,6,0,8,0,0,0,4,2, , ,60,6,0,0,53,6,0,1,0,6,0,0,6,60,0,58,6,2,0,17,6,8,58,0,0,0
Centro Hispano de East Tennessee, Knox Area Latino Food Insecurity Safety Net,"$14,000.00 ",461,0,0,461,0,461,0,0,0,0,0,0,0,0,0,0, , ,0, ,4,0,0,7,0,10,57,4,3,3,36,82,25,16,61,0,19,0,29,6,7,0, , , , , , , , , , , , , , ,461,0,0, , , , , , , , , , , 
"Karate Five Association, Inc.","Fighting to Save Lives thru the Mental, Physical and Emotional Training Disciplines of Martial Arts","$20,000.00 ",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,12, ,0,0,0,0,0,0,0,7,3,0,1,0,0,0,0,0,1,0,0,0,0,0, , ,8,4,0,0,0,7,0,0,0,5,0,0, , , , , , , ,0,12,0,0,0,0,0
Little Oaks Academy,Little Oaks Academy Tuition Scholarship ,"$20,000.00 ",51,8,0,0,0,0,0,0,0,0,0,10,9186,0,0,0, , ,0,"Staff details: 
 * Our total staff went from 33 in 1/2023 to 41 in 7/2023.
 * Of our staff as of 1/28/23, we only lost 4 staff members. Mainly reasons out of LOA's control. (moving, leaving childcare altogether)
 * This grant has supported 8 new jobs. 
New hires: 
 * We hired 24 new staff members from 2/10/23 to 7/28/23.
 * 19 of the 24 new hires were possible in the first 3 months of offering the new base wages.
 * Of the 24 new hires, about 8 were let go prior to their 90 days for not being good fits for LOA. Another 8 also left for various reasons of moving or not wanting to be in childcare anymore. While the percentage of staff that left if high for many companies, this is a great improvement for many childcare centers. Getting quality candidate has been incredible difficult since the COVID pandemic so this is progress that a childcare center can be more selective on staff members.
 * LOA retention has grown our new staff and 7-12 months staff members while maintaining our greater than 1 year staff members.     1/26/23: 0-6 months: 16 staff members, 7-12 months: 3 staff members, 1yr1mo-2yr: 8 staff members, 2yr1mo-3yr: 3 staff members, >3yr: 3 staff members 
    7/28/23: 0-6 months: 19 staff members, 7-12 months: 9 staff members, 1yr1mo-2yr: 6 staff members, 2yr1mo-3yr: 4 staff members, >3yr: 3 staff members

Staff responses: 
 * Our staff was incredibly thankful for increase in wages and to be fully staffed.
 * Being fully staffed is helping give them time for lesson planning and planning for student enrichment activities to meet our mission statement.
 * Improved efficiency and efficacy in onboarding staff. ",0,0,0,0,0,0,1,3,2,6,9,2,4,4,2,0,0,2,0,4,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
The Mend House Sober Living Community for Men,Healthy Living Through Sobriety,"$20,000.00 ",32,2,4,18,32,32,0,20,32,3,32,0,0,0,0,0, , ,32, , , , , , , , , , , , , , , , , , , , , , , , , ,0,32,0,0,28,4,0,0,0,0,0,0, , , , , , , ,0,0,2,27,3,0,0
